iter	Passed	Remaining
681	7943	3704
682	7954	3692
683	7965	3680
684	7975	3667
685	7984	3654
686	7996	3643
687	8007	3631
688	8018	3619
689	8028	3607
690	8038	3594
691	8047	3581
692	8056	3569
693	8068	3557
694	8076	3544
695	8086	3531
696	8094	3518
697	8104	3506
698	8116	3495
699	8126	3482
700	8139	3471
701	8151	3460
702	8162	3448
703	8172	3436
704	8185	3424
705	8195	3412
706	8203	3399
707	8213	3387
708	8224	3375
709	8236	3364
710	8245	3351
711	8254	3338
712	8266	3327
713	8275	3314
714	8283	3301
715	8293	3289
716	8303	3277
717	8315	3265
718	8324	3253
719	8333	3240
720	8343	3228
721	8353	3216
722	8364	3204
723	8374	3192
724	8385	3180
725	8395	3168
726	8408	3157
727	8419	3145
728	8430	3133
729	8438	3121
730	8447	3108
731	8460	3097
732	8471	3085
733	8479	3073
734	8492	3061
735	8501	3049
736	8514	3038
737	8522	3025
738	8532	3013
739	8541	3001
740	8552	2989
741	8563	2977
742	8573	2965
743	8586	2954
744	8598	2943
745	8609	2931
746	8619	2919
747	8629	2907
748	8638	2894
749	8648	2882
750	8658	2870
751	8665	2857
752	8679	2846
753	8687	2834
754	8697	2822
755	8707	2810
756	8716	2798
757	8727	2786
758	8736	2774
759	8745	2761
760	8753	2749
761	8761	2736
762	8769	2723
763	8780	2712
764	8790	2700
765	8801	2688
766	8812	2677
767	8822	2665
768	8829	2652
769	8840	2640
770	8852	2629
771	8861	2617
772	8871	2605
773	8882	2593
774	8892	2581
775	8899	2568
776	8910	2557
777	8922	2545
778	8931	2533
779	8939	2521
780	8947	2509
781	8958	2497
782	8970	2486
783	8981	2474
784	8995	2463
785	9009	2452
786	9018	2440
787	9027	2428
788	9036	2416
789	9046	2404
790	9055	2392
791	9062	2380
792	9074	2368
793	9083	2356
794	9095	2345
795	9106	2333
796	9118	2322
797	9127	2310
798	9137	2298
799	9148	2287
800	9161	2275
801	9171	2264
802	9179	2252
803	9189	2240
804	9200	2228
805	9210	2216
806	9220	2205
807	9231	2193
808	9244	2182
809	9253	2170
810	9261	2158
811	9269	2146
812	9282	2135
813	9291	2123
814	9303	2111
815	9314	2100
816	9323	2088
817	9334	2076
818	9343	2064
819	9353	2053
820	9364	2041
821	9373	2029
822	9383	2018
823	9396	2006
824	9406	1995
825	9414	1983
826	9423	1971
827	9433	1959
828	9445	1948
829	9456	1936
830	9466	1925
831	9475	1913
832	9488	1902
833	9503	1891
834	9517	1880
835	9525	1868
836	9536	1857
837	9546	1845
838	9555	1833
839	9566	1822
840	9578	1810
841	9590	1799
842	9601	1788
843	9613	1776
844	9624	1765
845	9637	1754
846	9646	1742
847	9657	1730
848	9666	1719
849	9674	1707
850	9685	1695
851	9696	1684
852	9704	1672
853	9714	1660
854	9728	1649
855	9738	1638
856	9749	1626
857	9760	1615
858	9770	1603
859	9781	1592
860	9794	1581
861	9803	1569
862	9813	1557
863	9824	1546
864	9836	1535
865	9847	1523
866	9859	1512
867	9872	1501
868	9883	1489
869	9891	1478
870	9898	1466
871	9908	1454
872	9916	1442
873	9923	1430
874	9931	1418
875	9942	1407
876	9951	1395
877	9959	1383
878	9968	1372
879	9977	1360
880	9986	1348
881	9996	1337
882	10006	1325
883	10013	1314
884	10023	1302
885	10034	1291
886	10041	1279
887	10049	1267
888	10061	1256
889	10072	1244
890	10086	1233
891	10096	1222
892	10106	1211
893	10115	1199
