iter	Passed	Remaining
671	7816	3815
672	7826	3802
673	7835	3790
674	7849	3779
675	7862	3768
676	7873	3756
677	7884	3744
678	7897	3733
679	7906	3720
680	7917	3708
681	7928	3696
682	7941	3685
683	7949	3672
684	7960	3660
685	7971	3648
686	7982	3636
687	7993	3625
688	8004	3612
689	8016	3601
690	8026	3589
691	8036	3576
692	8046	3564
693	8056	3552
694	8068	3540
695	8079	3529
696	8092	3518
697	8103	3505
698	8114	3494
699	8123	3481
700	8133	3469
701	8148	3459
702	8162	3448
703	8174	3436
704	8185	3425
705	8196	3413
706	8204	3400
707	8214	3388
708	8226	3376
709	8236	3364
710	8245	3351
711	8255	3339
712	8265	3326
713	8277	3315
714	8287	3303
715	8298	3291
716	8307	3278
717	8316	3266
718	8325	3253
719	8335	3241
720	8347	3230
721	8359	3218
722	8370	3206
723	8382	3195
724	8391	3182
725	8401	3170
726	8412	3158
727	8422	3146
728	8430	3134
729	8439	3121
730	8453	3110
731	8463	3098
732	8472	3086
733	8481	3073
734	8492	3061
735	8499	3048
736	8508	3036
737	8520	3024
738	8530	3012
739	8540	3000
740	8552	2989
741	8561	2976
742	8572	2965
743	8585	2954
744	8597	2942
745	8608	2931
746	8618	2918
747	8627	2906
748	8639	2895
749	8651	2883
750	8660	2871
751	8671	2859
752	8683	2848
753	8695	2837
754	8706	2825
755	8717	2813
756	8745	2807
757	8757	2796
758	8769	2784
759	8785	2774
760	8797	2762
761	8810	2751
762	8824	2741
763	8837	2729
764	8851	2719
765	8861	2707
766	8872	2695
767	8883	2683
768	8896	2672
769	8909	2661
770	8922	2650
771	8933	2638
772	8944	2626
773	8957	2615
774	8968	2603
775	8980	2592
776	8994	2581
777	9002	2568
778	9013	2557
779	9027	2546
780	9036	2534
781	9048	2522
782	9056	2510
783	9064	2497
784	9073	2485
785	9085	2473
786	9095	2461
787	9105	2449
788	9115	2437
789	9124	2425
790	9135	2413
791	9146	2402
792	9154	2389
793	9164	2377
794	9174	2365
795	9184	2353
796	9194	2341
797	9204	2330
798	9214	2318
799	9224	2306
800	9236	2294
801	9243	2282
802	9253	2270
803	9264	2258
804	9275	2246
805	9284	2234
806	9294	2222
807	9306	2211
808	9316	2199
809	9326	2187
810	9337	2175
811	9347	2164
812	9358	2152
813	9369	2140
814	9378	2128
815	9387	2116
816	9399	2105
817	9409	2093
818	9422	2082
819	9434	2071
820	9448	2059
821	9456	2047
822	9467	2036
823	9480	2024
824	9492	2013
825	9502	2001
826	9512	1989
827	9521	1977
828	9532	1966
829	9543	1954
830	9552	1942
831	9563	1931
832	9576	1919
833	9585	1907
834	9592	1895
